Actor,ActorID,Year,Film,Votes,Rating,FilmID
Julie Michaels,nm0584395,2020,Chick Fight,2323,4.6,tt10944486
Julie Walters,nm0910278,2020,The Secret Garden,6249,5.5,tt2702920
Julie Warner,nm0000689,2020,Unbelievable!!!!!,753,5.3,tt2180583
Juliet Aubrey,nm0041411,2020,LX 2048,981,4.9,tt7400998
Juliet Landau,nm0484460,2020,A Place Among the Dead,138,5.9,tt13060796
Juliette Angelo,nm4337287,2020,The Trial of the Chicago 7,123084,7.8,tt1070874
Juliette Binoche,nm0000300,2020,How to Be a Good Wife,1081,5.9,tt10441958
June Diane Raphael,nm2053085,2020,The High Note,7145,6.4,tt9308382
June Squibb,nm0820053,2020,SoulPalm SpringsHubie HalloweenGodmothered,358634,26.8,tt2948372tt9484998tt10682266tt11681250
Jurnee Smollett,nm0810619,2020,Birds of Prey,177659,6.1,tt7713068
Justice Smith,nm6819854,2020,All the Bright Places,21827,6.5,tt3907584
Justin Hartley,nm1261997,2020,The Hunt,73486,6.5,tt8244784
Justin Timberlake,nm0005493,2020,Trolls World Tour,17584,6.1,tt6587640
Justina Machado,nm0532461,2020,Scoob!All Together Now,23422,12.2,tt3152592tt3155342
K.J. Apa,nm6216001,2020,I Still BelieveSongbirdDead Reckoning,14938,14.899999999999999,tt9779516tt12592252tt4194558
Kaitlyn Bernard,nm5305557,2020,SpontaneousThe Sinners,5510,10.8,tt5774062tt7171054
Kaitlyn Leeb,nm3037446,2020,Anything for Jackson,3551,6.4,tt12137964
Kali Hawk,nm1589825,2020,Fatale,4669,5.3,tt8829830
Kandyse McClure,nm0565973,2020,"Love, Guaranteed",14183,5.5,tt11100856
Kane Hodder,nm0387987,2020,Impractical Jokers: The Movie,5094,5.9,tt9208444
Kaniehtiio Horn,nm1503416,2020,Possessor,20756,6.5,tt5918982
Kara Hayward,nm4442319,2020,The Social Dilemma,68007,7.6,tt11464826
Kara Kimmer,nm5211128,2020,Christmas on the Square,2162,5.3,tt10627548
Karan Brar,nm3557613,2020,Hubie HalloweenThe F**k-It ListStargirlThe Argument,49253,21.1,tt10682266tt8145202tt4858674tt10307856
Karan Soni,nm4175221,2020,Trolls World TourLike a BossSuperintelligence,34495,16.1,tt6587640tt7545266tt7178640
Kareena Kapoor,nm0004626,2020,Angrezi Medium,10995,7.3,tt8907986
Karen Fukuhara,nm7232332,2020,Bobbleheads: The Movie,153,3.1,tt13292206
Karen Gillan,nm2394794,2020,The Call of the Wild,40272,6.8,tt7504726
Kari Matchett,nm0558182,2020,2 Hearts,562,5.7,tt5616176
Kari Wahlgren,nm1312566,2020,The Christmas Chronicles: Part Two,23535,6.0,tt11057644
Karina Banno,nm4345657,2020,Moon Rock for Monday,113,8.2,tt6685476
Karl Glusman,nm3194762,2020,Greyhound,72827,7.0,tt6048922
Karl Johnson,nm0425490,2020,Dream Horse,158,6.0,tt9883996
Karla Souza,nm0646568,2020,The Sleepover,8243,5.6,tt10888708
Karrueche Tran,nm6556496,2020,Embattled,956,6.6,tt6539992
Karyn Parsons,nm0663854,2020,Sweet Thing,548,7.3,tt11685322
Kasia Smutniak,nm0810738,2020,Dolittle,50409,5.6,tt6673612
Kassandra Clementi,nm3879121,2020,Breach,4866,3.0,tt9820556
Kat Dennings,nm0993507,2020,Friendsgiving,1513,4.4,tt8431078
Kat Graham,nm0334159,2020,Operation Christmas DropCut Throat CityEmperor,11807,16.3,tt13236566tt3547306tt8354752
Kate Bosworth,nm0098378,2020,Force of Nature,7350,4.5,tt10308928
Kate Burton,nm0123632,2020,Before/During/After,253,4.9,tt6393674
Kate Dickie,nm0225483,2020,KnuckledustThe Complex: Lockdown,320,8.8,tt9109072tt12550060
Kate Katzman,nm6199057,2020,AdverseThe Comeback TrailThis Is the Year,3751,17.7,tt8597594tt5420210tt8231202
Kate Lyn Sheil,nm3338354,2020,She Dies TomorrowThe Wanting Mare,4963,10.899999999999999,tt11614912tt2267554
Kate Micucci,nm2177528,2020,"I Used to Go HereHappy Halloween, Scooby-Doo!",3355,11.899999999999999,tt10887902tt12838958
Kate Walsh,nm0005532,2020,Honest Thief,29630,6.0,tt1838556
Kate Winslet,nm0000701,2020,AmmoniteBlack Beauty,10888,12.9,tt7983894tt8484160
Kate del Castillo,nm0215487,2020,Bad Boys for Life,134317,6.6,tt1502397
Katherine Langford,nm7692698,2020,Spontaneous,5191,6.5,tt5774062
Katherine Waterston,nm2239702,2020,The World to Come,2942,6.1,tt9738716
Katheryn Winnick,nm0935395,2020,Wander,3157,4.9,tt9689696
Kathleen Munroe,nm1182008,2020,A Perfect Plan,282,4.3,tt9261042
Kathrine Narducci,nm0621393,2020,Capone,16555,4.7,tt6199572
Kathryn Newton,nm1105980,2020,Freaky,28092,6.3,tt10919380
Katia Winter,nm2316016,2020,10 Things We Should Do Before We Break UpYou're Not Alone,1078,8.4,tt7939428tt6332158
Katie Aselton,nm1051221,2020,She Dies Tomorrow,4650,5.1,tt11614912
Katie Finneran,nm0278234,2020,Freaky,28092,6.3,tt10919380
Katie Holmes,nm0005017,2020,Brahms: The Boy IIThe Secret: Dare to Dream,22333,11.0,tt9173418tt4411584
Katie Leclerc,nm1813088,2020,A Deadly Lullaby,165,5.8,tt12036096
Katrina Begin,nm1640523,2020,The Secret: Dare to Dream,9611,6.4,tt4411584
Katrina Bowden,nm2197298,2020,Hunter's Moon,443,3.3,tt5761986
Katrina Norman,nm2872438,2020,Money PlaneChristmas on the MenuLove on the Rise,2240,14.8,tt7286966tt12968696tt9749144
Keala Settle,nm4745222,2020,All My Life,1564,6.2,tt8305852
Keanu Reeves,nm0000206,2020,Bill & Ted Face the MusicThe SpongeBob Movie: Sponge on the Run,43352,12.1,tt1086064tt4823776
Keean Johnson,nm5277107,2020,Cut Throat CityEmperor,2523,10.5,tt3547306tt8354752
Keegan Allen,nm1138805,2020,No Escape,7381,5.4,tt8160834
Keegan-Michael Key,nm1221047,2020,The PromAll the Bright PlacesJingle Jangle: A Christmas Journey,60384,18.9,tt10161886tt3907584tt7736496
Keeley Hawes,nm0369954,2020,RebeccaMisbehaviour,38325,12.2,tt2235695tt9148706
Keir Gilchrist,nm1507857,2020,Flashback,175,7.2,tt8372094
Keir O'Donnell,nm1218757,2020,The Dry,3696,7.3,tt5144174
Keira Knightley,nm0461136,2020,Misbehaviour,5790,6.2,tt9148706
Keisha Castle-Hughes,nm1095720,2020,DieRy,116,3.7,tt8991400
Keith David,nm0202966,2020,Horizon Line,4227,4.7,tt5498354
Keiynan Lonsdale,nm2920533,2020,Work It,9894,6.1,tt10276470
Keke Palmer,nm1551130,2020,2 Minutes of Fame,426,5.3,tt7661376
Kelen Coleman,nm2584298,2020,aTypical Wednesday,150,6.0,tt9324808
Kelli Berglund,nm2399914,2020,Hubie Halloween,39958,5.2,tt10682266
Kelli Maroney,nm0549526,2020,The Deep Ones,123,4.5,tt11548850
Kelly Carlson,nm1023018,2020,The Reason,115,5.4,tt5493516
Kelly Hu,nm0005026,2020,Phineas and Ferb the Movie: Candace Against the Universe,3094,7.2,tt1817232
Kelly Lynch,nm0001488,2020,On the Rocks,24030,6.5,tt9606374
Kelly Marie Tran,nm4511652,2020,The Croods: A New Age,22014,7.0,tt2850386
Kelly Ripa,nm0727961,2020,The Stand In,1284,4.5,tt7970348
Kelly Stables,nm1261587,2020,Dolittle,50409,5.6,tt6673612
Kelsey Grammer,nm0001288,2020,Money Plane,1683,3.2,tt7286966
Kelvin Harrison Jr.,nm5123156,2020,The Trial of the Chicago 7The High NoteThe Photograph,134325,20.2,tt1070874tt9308382tt7798646
Ken Jeong,nm0421822,2020,My SpyScoob!Over the MoonOccupation: RainfallThe Opening Act,60542,31.2,tt8242084tt3152592tt7488208tt8615822tt8633748
Ken Marino,nm0547800,2020,The Babysitter: Killer QueenThe SleepoverThe Main Event,38247,16.2,tt11024272tt10888708tt10540242
Ken Watanabe,nm0913822,2020,Fukushima 50,1214,6.1,tt9318772
Kenan Thompson,nm0860380,2020,Hubie HalloweenTrolls World Tour,57542,11.3,tt10682266tt6587640
Kenneth Branagh,nm0000110,2020,Tenet,323041,7.5,tt6723592
Kenneth Welsh,nm0920564,2020,Psycho Goreman,5260,6.2,tt11252440
Kerry Bishe,nm2628935,2020,The Evening Hour,101,6.1,tt5554356
Kerry Washington,nm0913488,2020,The Prom,22923,5.9,tt10161886
Kevin Alejandro,nm1204760,2020,The Lost Husband,3550,6.0,tt4257940
Kevin Bacon,nm0000102,2020,You Should Have Left,15740,5.4,tt8201852
Kevin Connolly,nm0175305,2020,Chick Fight,2323,4.6,tt10944486
Kevin Corrigan,nm0180984,2020,The King of Staten IslandLost Girls,60581,13.2,tt9686708tt3111426
Kevin Costner,nm0000126,2020,Let Him Go,13268,6.7,tt9340860
Kevin Eldon,nm0253126,2020,Six Minutes to Midnight,1355,5.7,tt5114840
Kevin Guthrie,nm2295590,2020,Concrete Plans,373,5.2,tt10975750
Kevin J. O'Connor,nm0640413,2020,Wish Upon A Unicorn,101,5.3,tt10798660
Kevin James,nm0416673,2020,Hubie HalloweenBecky,51858,11.0,tt10682266tt10314450
Kevin Michael Richardson,nm0724656,2020,Mortal Kombat Legends: Scorpion's Revenge,11365,7.4,tt9580138
Kevin Nash,nm0621760,2020,Chick Fight,2323,4.6,tt10944486
Kevin Quinn,nm6218423,2020,Hubie Halloween,39958,5.2,tt10682266
Kevin Smith,nm0003620,2020,Max Reload and the Nether Blasters,488,4.8,tt7424290
Kevin Sorbo,nm0001757,2020,Faith Under FireFree Lunch Express,287,5.4,tt8590528tt12537570
Khary Payton,nm1146051,2020,Bobbleheads: The Movie,153,3.1,tt13292206
Ki Hong Lee,nm3859624,2020,Looks That Kill,2240,6.3,tt8179470
KiKi Layne,nm8460487,2020,The Old Guard,131931,6.6,tt7556122
Kid Cudi,nm3264596,2020,Bill & Ted Face the Music,31080,6.1,tt1086064
Kiera Allen,nm6266674,2020,Run,34687,6.7,tt8633478
Kiersey Clemons,nm4169922,2020,Scoob!Antebellum,38718,11.4,tt3152592tt10065694
Kim Coates,nm0167649,2020,Fantasy Island,38605,4.9,tt0983946
Kim Director,nm0228171,2020,InstaPsycho,267,4.6,tt9024292
Kim Shaw,nm2137418,2020,Christmas on the Menu,285,6.4,tt12968696
Kimberly Williams-Paisley,nm0931090,2020,The Christmas Chronicles: Part TwoThe Violent Heart,23685,11.2,tt11057644tt8310476
Kimiko Glenn,nm4733752,2020,Over the Moon,14615,6.4,tt7488208
Kimrie Lewis,nm1699444,2020,2 Minutes of Fame,426,5.3,tt7661376
Kingsley Ben-Adir,nm4667984,2020,One Night in Miami...,21368,7.2,tt10612922
Kiran Sonia Sawar,nm7584343,2020,Mogul MowgliListenKindredRunning Naked,3045,23.9,tt9892094tt6627168tt9742392tt8502944
Kirk Fox,nm0289105,2020,Bulletproof 2,454,3.6,tt9887580
Kodi Smit-McPhee,nm2240346,2020,2067,5509,4.8,tt1918734
Krista Kosonen,nm1279980,2020,ToveHelene,1178,13.5,tt11007444tt9742588
Kristen Dalton,nm0198306,2020,Steel Rain 2,775,6.3,tt10516176
Kristen Hager,nm1982266,2020,Blood and Money,1164,5.1,tt9248110
Kristen Renton,nm1012029,2020,American Zombieland,227,3.0,tt2989692
Kristen Schaal,nm1102891,2020,Bill & Ted Face the MusicMy Spy,54915,12.399999999999999,tt1086064tt8242084
Kristen Stewart,nm0829576,2020,UnderwaterHappiest Season,93329,12.399999999999999,tt5774060tt8522006
Kristen Vaganos,nm6553508,2020,I Am LisaChocolate Covered Christmas,644,9.2,tt8952968tt12953542
Kristen Wiig,nm1325419,2020,Wonder Woman 1984,185527,5.4,tt7126948
Kristin Chenoweth,nm0155693,2020,HolidateThe Witches,73491,11.399999999999999,tt9866072tt0805647
Kristin Scott Thomas,nm0000218,2020,Rebecca,32535,6.0,tt2235695
Kristine Sutherland,nm0840133,2020,Before/During/After,253,4.9,tt6393674
Kristofer Hivju,nm1970465,2020,Downhill,9896,4.9,tt4558376
Kristoffer Polaha,nm1119340,2020,Wonder Woman 1984,185527,5.4,tt7126948
Kumail Nanjiani,nm3529685,2020,DolittleThe Lovebirds,72179,11.7,tt6673612tt8851668
Kunal Nayyar,nm2471798,2020,Trolls World TourThink Like a Dog,18764,11.2,tt6587640tt5929654
Kurt Russell,nm0000621,2020,The Christmas Chronicles: Part Two,23535,6.0,tt11057644
Kyle Allen,nm6563873,2020,All My Life,1564,6.2,tt8305852
Kyle Bornheimer,nm1531180,2020,OnwardThe LovebirdsTimmy Failure: Mistakes Were Made,132444,19.6,tt7146812tt8851668tt6820324
Kyle Chandler,nm0151419,2020,The Midnight Sky,70419,5.6,tt10539608
Kyle Gallner,nm0973177,2020,Ghosts of WarDinner in America,7449,12.9,tt6508228tt9058654
Kyle MacLachlan,nm0001492,2020,CaponeTesla,23176,9.7,tt6199572tt5259822
Kym Whitley,nm0005552,2020,Hubie Halloween,39958,5.2,tt10682266
Kyra Zagorsky,nm2172012,2020,Broil,869,4.7,tt8997712
LaKeith Stanfield,nm3147751,2020,The Photograph,4096,6.0,tt7798646
Lala Kent,nm2742160,2020,Hard KillSpree,12581,9.2,tt11656172tt11394332
Lambert Wilson,nm0933727,2020,De Gaulle,887,5.9,tt10880402
Lamorne Morris,nm2031358,2020,BloodshotDesperados,71823,10.9,tt1634106tt1545304
Lana Condor,nm7093076,2020,To All the Boys: P.S. I Still Love You,29743,6.0,tt9354842
Lana Parrilla,nm0663469,2020,The Tax Collector,9744,4.8,tt8461224
Lance Henriksen,nm0000448,2020,FallingA Place Among the Dead,2613,12.2,tt9143112tt13060796
Lance Reddick,nm0714698,2020,One Night in Miami...Sylvie's LoveFaith Based,26179,18.9,tt10612922tt9827834tt10260692
Landon Liboiron,nm2334994,2020,Come True,2996,6.0,tt7026488
Lane Bradbury,nm0102902,2020,You're Not Alone,281,3.7,tt6332158
Lara Silva,nm7299297,2020,Blue Ridge,185,4.5,tt11695190
Lashana Lynch,nm2736476,2020,The Intergalactic Adventures of Max Cloud,1451,4.8,tt9472532
Laura Ashley Samuels,nm3359122,2020,1 Night in San Diego,257,3.5,tt9765226
Laura Bell Bundy,nm0120410,2020,The F**k-It List,4721,5.1,tt8145202
Laura Benanti,nm1128574,2020,Worth,230,6.9,tt8009744
Laura Dern,nm0000368,2020,Grizzly II: The Concert,449,3.6,tt0093119
Laura Linney,nm0001473,2020,FallingThe Roads Not Taken,4009,11.5,tt9143112tt9411866
Laura Marano,nm1404824,2020,The War with Grandpa,13282,5.6,tt4532038
Laura Wiggins,nm2270016,2020,InstaPsycho,267,4.6,tt9024292
Lauren Lapkus,nm1944055,2020,The Wrong MissyHappiest Season,60806,12.3,tt9619798tt8522006
Lauren London,nm1988575,2020,Always and Forever,338,3.8,tt7544954
Lauren Swickard,nm4549519,2020,A California ChristmasRopedTwisted Twin,7708,16.4,tt13055780tt8523028tt12311640
Laverne Cox,nm1209545,2020,Promising Young WomanBad Hair,64293,13.1,tt9620292tt4798836
Lawrence Gilliard Jr.,nm0319142,2020,One Night in Miami...,21368,7.2,tt10612922
Lea Thompson,nm0000670,2020,Dinner in America,448,7.4,tt9058654
Leah Lewis,nm2301427,2020,The Half of It,29358,6.9,tt9683478
Lee Byung-Hun,nm0496932,2020,The Man Standing Next,2109,7.0,tt11358398
Lee Norris,nm0635851,2020,Greyhound,72827,7.0,tt6048922
Lena Dunham,nm2501633,2020,The Stand InHoneydew,1587,9.2,tt7970348tt10734864
Lena Olin,nm0000565,2020,Se upp for JonssonliganAdam,3637,10.4,tt8880922tt1715344
Lena Waithe,nm2913119,2020,OnwardBad Hair,110691,13.0,tt7146812tt4798836
Lenora Crichlow,nm1564072,2020,The Big Ugly,1556,4.9,tt9441638
Leon,nm0502442,2020,The Glorias,2248,5.4,tt7435316
Leonie Benesch,nm2914059,2020,Persian LessonsThe Turncoat,2863,14.1,tt9738784tt5917226
Lesley Ann Warren,nm0000690,2020,Echo Boomers,1669,5.4,tt4353270
Lesley Manville,nm0544334,2020,Let Him GoMisbehaviour,19058,12.9,tt9340860tt9148706
Leslie Bibb,nm0004753,2020,The Babysitter: Killer QueenThe Lost Husband,31660,11.8,tt11024272tt4257940
Leslie Caron,nm0001989,2020,A Christmas Carol,113,5.0,tt9136058
Leslie Easterbrook,nm0247579,2020,VoicesBeast Mode,451,7.5,tt8640928tt2323912
Leslie Mann,nm0005182,2020,The Croods: A New AgeBlithe Spirit,24806,12.4,tt2850386tt10334148
Leslie Odom Jr.,nm1502434,2020,HamiltonOne Night in Miami...,82596,15.7,tt8503618tt10612922
Leven Rambin,nm1628079,2020,MankThe Big Ugly,51650,11.9,tt10618286tt9441638
Lex Scott Davis,nm6280112,2020,Son of the South,481,5.4,tt2235372
Li Jun Li,nm4050835,2020,Modern Persuasion,131,4.7,tt2165922
Lia McHugh,nm7186321,2020,Songbird,5646,4.6,tt12592252
Lia Williams,nm0931165,2020,Archive,13357,6.3,tt6882604
Liam Aiken,nm0014582,2020,The Bloodhound,259,4.6,tt6920798
Liam Hemsworth,nm2955013,2020,Arkansas,9759,6.0,tt9139586
Liam McIntyre,nm2553987,2020,The Clearing,663,4.2,tt7411112
Liam Neeson,nm0000553,2020,Honest ThiefMade in Italy,34271,11.8,tt1838556tt9207700
Lil Rel Howery,nm2577076,2020,CloudsThe Photograph,10635,13.5,tt6473066tt7798646
Lili Reinhart,nm3929887,2020,Chemical Hearts,8728,6.3,tt5843876
Lili Taylor,nm0000666,2020,The Evening Hour,101,6.1,tt5554356
Lillo Brancato,nm0000969,2020,5th Borough,601,6.6,tt8241876
Lilly Aspell,nm8412222,2020,Wonder Woman 1984,185527,5.4,tt7126948
Lily Collins,nm2934314,2020,MankInheritance,59557,12.5,tt10618286tt7923220
Lily James,nm4141252,2020,Rebecca,32535,6.0,tt2235695
Lily Newmark,nm8180163,2020,Misbehaviour,5790,6.2,tt9148706
Lin Shaye,nm0005417,2020,The GrudgeThe CallDreamkatcherDarkness FallsThe VoicesMax Reload and the Nether Blasters,26446,25.2,tt3612126tt12971924tt10553210tt6647564tt5950596tt7424290
Lin-Manuel Miranda,nm0592135,2020,Hamilton,61228,8.5,tt8503618
Linda Cardellini,nm0004802,2020,Capone,16555,4.7,tt6199572
Linda Park,nm0971133,2020,Unbelievable!!!!!,753,5.3,tt2180583
Linda Purl,nm0700909,2020,The Swing of Things,1127,2.9,tt6833470
Lindsay Duncan,nm0242026,2020,Made in Italy,4641,5.8,tt9207700
Lindsay Hartley,nm0005102,2020,Deadly Daughter Switch,127,5.6,tt10925166
Lindsey Broad,nm2365442,2020,10 Things We Should Do Before We Break Up,797,4.7,tt7939428
Lindsey Morgan,nm4289392,2020,Skylines,4575,4.7,tt9387250
Lisa Kudrow,nm0001435,2020,Like a Boss,10833,4.6,tt7545266
Lisa Vicari,nm3582197,2020,Isi & Ossi,6659,6.4,tt9806322
Liz Fitzgibbon,nm3001947,2020,Herself,1737,7.0,tt9902160
Liz Katz,nm1968140,2020,Guest House,1515,4.4,tt10054316
Liza Lapira,nm0487594,2020,Modern Persuasion,131,4.7,tt2165922
Lochlyn Munro,nm0613147,2020,BroilThe SinnersDead Voices,1346,11.8,tt8997712tt7171054tt10437542
Logan Lerman,nm0503567,2020,Shirley,8496,6.2,tt8430598
Logan Miller,nm2383250,2020,Shithouse,2103,7.0,tt11618536
Logan Paul,nm6982686,2020,Valley Girl,2500,5.4,tt1266036
Lois Smith,nm0809135,2020,Uncle FrankTesla,20811,12.3,tt11327514tt5259822
Lola Glaudini,nm0322164,2020,She's in Portland,323,5.5,tt7174660
Lola Kirke,nm3860305,2020,Lost Girls,17680,6.1,tt3111426
Lorcan Cranitch,nm0186475,2020,Herself,1737,7.0,tt9902160
Loretta Devine,nm0222643,2020,SpellAlways and Forever,3973,9.3,tt10736580tt7544954
Loretta Walsh,nm1479098,2020,The Sinners,319,4.3,tt7171054
Lori Petty,nm0001614,2020,A Deadly Legend,116,2.7,tt10021582
Lorraine Bracco,nm0000966,2020,A Ring for Christmas,196,5.1,tt9690756
Lorraine Toussaint,nm0005501,2020,The GloriasConcrete Cowboy,4053,11.5,tt7435316tt8846176
Lotte Verbeek,nm2551311,2020,The Book of Vision,119,5.4,tt4016312
Lou Diamond Phillips,nm0001617,2020,Adverse,3018,4.6,tt8597594
Lou Ferrigno,nm0002073,2020,Guest House,1515,4.4,tt10054316
Lou Ferrigno Jr.,nm4609670,2020,Guest House,1515,4.4,tt10054316
Louis Garrel,nm0308039,2020,Rifkin's FestivalDNA,1743,11.9,tt8593904tt7600716
Louis Gossett Jr.,nm0001283,2020,Canaan LandThe Reason,540,13.0,tt5585836tt5493516
Louis Lombardi,nm0518385,2020,Clover,244,4.3,tt7801350
Louis Mandylor,nm0541909,2020,The DoormanDebt CollectorsLegacy,7055,14.2,tt6222118tt10933680tt6439748
Louis Partridge,nm6273024,2020,Enola Holmes,132681,6.6,tt7846844
Louisa Harland,nm5308665,2020,Boys from County Hell,152,6.3,tt10262380
Louise Fletcher,nm0001221,2020,Grizzly II: The Concert,449,3.6,tt0093119
Louise Lombard,nm0518321,2020,After We CollidedThe Small Hand (Ghost Story),20595,9.3,tt10362466tt10846772
Lucas Hedges,nm2348627,2020,Let Them All TalkFrench Exit,7501,12.6,tt10808832tt10279362
Lucas Till,nm1395771,2020,Son of the South,481,5.4,tt2235372
Lucie Guest,nm1708815,2020,The Main Event,1894,4.8,tt10540242
Lucy Davis,nm0205063,2020,Wonder Woman 1984,185527,5.4,tt7126948
Lucy Hale,nm1423955,2020,Fantasy IslandA Nice Girl Like YouSon of the South,42011,15.5,tt0983946tt3278540tt2235372
Lucy Liu,nm0005154,2020,Stage Mother,1486,6.5,tt8364138
Lucy Russell,nm0751301,2020,Rebecca,32535,6.0,tt2235695
Lucy Walters,nm3046705,2020,Tesla,6621,5.0,tt5259822
Ludacris,nm0524839,2020,John Henry,2006,3.5,tt8170298
Ludi Lin,nm3485108,2020,Son of the South,481,5.4,tt2235372
Luenell,nm0132685,2020,Ballbuster,109,3.1,tt8334452
Luis Tosar,nm0869088,2020,AduSky High,4949,12.4,tt9616700tt10978398
Lukas Haas,nm0001305,2020,The Violent HeartBrowse,265,8.8,tt8310476tt5580306
Luke Bracey,nm3478396,2020,Holidate,47292,6.1,tt9866072
Luke Goss,nm0331577,2020,PaydirtLegacyThe Loss Adjuster,1331,11.9,tt11176322tt6439748tt6841828
Luke Hemsworth,nm1292661,2020,Death of Me,4103,4.4,tt1830643
Luke Mitchell,nm1446779,2020,Black Water: Abyss,4039,4.5,tt7978672
Luke Thompson,nm3451086,2020,Misbehaviour,5790,6.2,tt9148706
Luke Treadaway,nm2008435,2020,A Christmas Gift from Bob,1137,6.4,tt9564270
Luke Wilson,nm0005561,2020,All the Bright PlacesThe Swing of ThingsBobbleheads: The Movie,23107,12.5,tt3907584tt6833470tt13292206
Lulu Wilson,nm5157662,2020,BeckyThe Glorias,14148,11.2,tt10314450tt7435316
Luna Lauren Velez,nm0904967,2020,Ana,1272,5.8,tt6865630
Lupita Nyong'o,nm2143282,2020,Black Is King,8069,5.5,tt12607910
Luvia Petersen,nm1586595,2020,Spontaneous,5191,6.5,tt5774062
Lynda Carter,nm0004812,2020,Wonder Woman 1984Canaan Land,185952,13.0,tt7126948tt5585836
Lyon Beckwith,nm4874127,2020,Wonder Woman 1984,185527,5.4,tt7126948
M. Emmet Walsh,nm0001826,2020,The Mimic,111,4.4,tt5704368
M.C. Gainey,nm0301370,2020,Emperor,787,5.6,tt8354752
Machine Gun Kelly,nm0446622,2020,Project PowerThe King of Staten Island,115442,13.1,tt7550000tt9686708
Mackenzie Davis,nm4496875,2020,Happiest SeasonIrresistibleThe Turning,50139,16.7,tt8522006tt9076562tt7510346
Mackenzie Foy,nm3237775,2020,Black Beauty,2450,6.4,tt8484160
Macon Blair,nm0086301,2020,I Care a LotThe HuntI Blame Society,155274,17.3,tt9893250tt8244784tt11469196
Maddie Ziegler,nm4675650,2020,To All the Boys: P.S. I Still Love You,29743,6.0,tt9354842
Madelaine Petsch,nm6663708,2020,Sightless,5458,5.5,tt10303430
Madeleine Arthur,nm4699715,2020,To All the Boys: P.S. I Still Love You,29743,6.0,tt9354842
Madeleine Coghlan,nm3999574,2020,Kajillionaire,9568,6.5,tt8143990
Madison Bailey,nm6045536,2020,Impractical Jokers: The Movie,5094,5.9,tt9208444
Madison Iseman,nm5589690,2020,CloudsNocturneThe F**k-It List,17155,18.3,tt6473066tt11044858tt8145202
Mads Mikkelsen,nm0586568,2020,Another RoundRiders of Justice,57992,15.8,tt10288566tt11655202
Mae Whitman,nm0926165,2020,Valley Girl,2500,5.4,tt1266036
Maeve Dermody,nm0220450,2020,The Secret Garden,6249,5.5,tt2702920
Maggie Grace,nm1192254,2020,"Love, Weddings & Other Disasters",781,5.1,tt10235718
Maggie Q,nm0702572,2020,Fantasy IslandDeath of MeThe Argument,43187,13.9,tt0983946tt1830643tt10307856
Maiara Walsh,nm2118666,2020,Chasing the Rain,163,4.3,tt2075078
Maika Monroe,nm2140860,2020,Brothers by BloodFlashback,930,12.100000000000001,tt8368294tt8372094
Maisie Richardson-Sellers,nm5114966,2020,The Kissing Booth 2,21771,5.8,tt9784456
Maisie Williams,nm3586035,2020,The New MutantsThe Owners,53237,10.2,tt4682266tt9806370
Maiwenn,nm0494069,2020,DNAThe Man in the Hat,657,12.2,tt7600716tt9056822
Makenzie Vega,nm0891863,2020,InstaPsycho,267,4.6,tt9024292
Malcolm Barrett,nm0057217,2020,The Comeback Trail,631,5.7,tt5420210
Malcolm McDowell,nm0000532,2020,The Christmas Chronicles: Part TwoThe Big UglyFree Lunch Express,25212,13.4,tt11057644tt9441638tt12537570
Malin Akerman,nm0015196,2020,The SleepoverChick FightFriendsgiving,12079,14.6,tt10888708tt10944486tt8431078
Manish Dayal,nm2110485,2020,Holidate,47292,6.1,tt9866072
Manny Montana,nm2861303,2020,I Hate the Man in My Basement,241,5.5,tt5174992
Manuel Garcia-Rulfo,nm2636310,2020,Greyhound,72827,7.0,tt6048922
Marc Alaimo,nm0015826,2020,Grizzly II: The Concert,449,3.6,tt0093119
Marc Evan Jackson,nm1476601,2020,The High Note,7145,6.4,tt9308382
Marc John Jefferies,nm0420384,2020,5th BoroughEqual Standard,787,12.0,tt8241876tt8171000
Marc Maron,nm0549505,2020,Spenser ConfidentialStardust,73693,10.2,tt8629748tt9694312
Marc Menchaca,nm0578766,2020,AloneThe Evening Hour,10817,12.3,tt7711170tt5554356
Marcin Dorocinski,nm0233949,2020,Psy 3: W imie zasad,989,6.3,tt10590530
Marcus Rosner,nm4785386,2020,Christmas with a Crown,441,4.7,tt12986254
Marcus Scribner,nm3851090,2020,The F**k-It ListFarewell Amor,5520,12.0,tt8145202tt11380884
Mare Winningham,nm0001858,2020,News of the World,54032,6.8,tt6878306
Margaret Cho,nm0158632,2020,Over the MoonFriendsgivingFaith Based,16469,15.700000000000001,tt7488208tt8431078tt10260692
Margaret Qualley,nm4960279,2020,My Salinger Year,998,6.3,tt2222052
Margo Martindale,nm0553269,2020,Uncle FrankLazy Susan,14829,12.5,tt11327514tt8633560
Margo Stilley,nm1626256,2020,The Host,574,4.9,tt8316568
Margot Bingham,nm3925982,2020,Tigertail,3128,6.5,tt8902948
Margot Robbie,nm3053338,2020,Birds of Prey,177659,6.1,tt7713068
Maria Bakalova,nm7210025,2020,Borat Subsequent Moviefilm,116173,6.7,tt13143964
Maria Bonnevie,nm0095013,2020,Another Round,55075,7.8,tt10288566
Maria Doyle Kennedy,nm0448204,2020,Wolfwalkers,17414,8.1,tt5198068
Maria Pedraza,nm8061858,2020,El verano que vivimos,251,5.9,tt10042590
Maria de Medeiros,nm0210218,2020,Moral Order,132,6.8,tt7490358
