,Features,Importance
516,homeless,1.7788423e-05
68,anti-semitism,1.7784885e-05
510,hit men,1.7767912e-05
798,political,1.7739107e-05
243,complicated plot,1.7694692e-05
557,intimate,1.7663817e-05
662,monkey,1.7603625e-05
6,1950s,1.7355016e-05
338,earnest,1.727274e-05
85,atheism,1.7269198e-05
529,humorous,1.7111195e-05
410,freedom,1.695747e-05
301,devil,1.689294e-05
1065,us history,1.6648395e-05
1104,weird,1.6586338e-05
699,neo-nazis,1.6302725e-05
300,detective,1.6279717e-05
1118,workplace,1.6222091e-05
286,dark comedy,1.5878471e-05
217,classical music,1.5832144e-05
189,cathartic,1.5824113e-05
517,homophobia,1.5733496e-05
342,ecology,1.570139e-05
345,effects,1.5644213e-05
692,nasa,1.557458e-05
1092,visually stunning,1.5452726e-05
331,drugs,1.5179902e-05
564,irish accent,1.4859182e-05
597,lawyer,1.4755615e-05
1076,video games,1.4570017e-05
258,corruption,1.44268915e-05
1008,talky,1.4244604e-05
405,france,1.4231794e-05
599,lesbian,1.3976206e-05
63,animated,1.3857007e-05
770,parody,1.385158e-05
55,amazing photography,1.3683592e-05
376,family drama,1.3626466e-05
907,sexual,1.352805e-05
35,afterlife,1.334001e-05
450,good romantic comedies,1.3331864e-05
351,enigmatic,1.3083517e-05
668,moral ambiguity,1.30403005e-05
9,1980s,1.3007093e-05
780,philosophy,1.2981494e-05
161,brazil,1.2946295e-05
18,absurd,1.2926437e-05
590,king arthur,1.2913608e-05
585,justice,1.2798593e-05
389,fight scenes,1.2720254e-05
514,hollywood,1.271045e-05
340,east germany,1.26456e-05
665,monty python,1.2636786e-05
623,magic,1.2569514e-05
359,epic,1.2541865e-05
1060,united nations,1.2334338e-05
1061,unlikeable characters,1.2245624e-05
996,surrealism,1.2226307e-05
280,cyberpunk,1.196178e-05
13,80s,1.1918922e-05
899,self discovery,1.1621851e-05
362,ethnic conflict,1.1602966e-05
666,moody,1.138695e-05
343,educational,1.129219e-05
164,british,1.1209018e-05
1020,tense,1.1062329e-05
860,robot,1.1031408e-05
908,sexual abuse,1.0878435e-05
512,hitman,1.0860709e-05
236,coming-of-age,1.0625333e-05
933,so bad it's funny,1.058789e-05
75,art,1.0561867e-05
644,mental hospital,1.0447972e-05
700,neo-noir,1.0150215e-05
509,history,1.0044612e-05
36,aging,1.0036653e-05
1069,vampires,9.806726e-06
630,mars,9.450067e-06
26,adolescence,9.272981e-06
714,non-linear,9.253209e-06
81,assassin,7.685727e-06
1106,werewolves,7.4291574e-06
791,poignant,6.7794244e-06
689,mystery,6.6751095e-06
682,murder,6.593596e-06
40,alaska,6.3885545e-06
264,crappy sequel,6.3159755e-06
526,hotel,6.2984627e-06
242,complicated,6.047683e-06
958,spoof,5.7315656e-06
928,slavery,5.5704495e-06
883,scenic,4.7661156e-06
1105,werewolf,4.5687048e-06
437,giant robots,4.0569853e-06
794,poland,3.7791538e-06
822,psychiatry,3.6424424e-06
202,child abuse,3.2984012e-06
426,gay character,3.1485406e-06
76,art house,2.0750047e-06
365,excellent script,1.4426887e-06
135,biopic,3.257042e-07
733,obsession,0.0
180,cannibalism,0.0
974,strange,0.0
650,midlife crisis,0.0
651,military,0.0
730,nudity (topless - brief),0.0
641,melancholy,0.0
716,nostalgia,0.0
779,philosophical,0.0
711,noir,0.0
986,suicide attempt,0.0
710,nocturnal,0.0
1000,suspenseful,0.0
750,oscar (best directing),0.0
697,nazis,0.0
1116,women,0.0
756,oscar (best picture),0.0
1113,witches,0.0
209,christianity,0.0
769,paris,0.0
642,memory,0.0
1029,tokyo,0.0
318,dolphins,0.0
398,flashbacks,0.0
504,highly quotable,0.0
498,heist,0.0
496,heartbreaking,0.0
478,guilt,0.0
477,gruesome,0.0
472,greed,0.0
1047,true story,0.0
275,cult classic,0.0
305,directorial debut,0.0
277,culture clash,0.0
469,great movie,0.0
281,cyborgs,0.0
938,sophia coppola,0.0
461,graphic design,0.0
1028,time travel,0.0
887,sci-fi,0.0
1062,unlikely friendships,0.0
801,pornography,0.0
390,fighting,0.0
361,espionage,0.0
600,life,0.0
363,evolution,0.0
591,kubrick,0.0
1030,tolkien,0.0
840,realistic,0.0
951,special effects,0.0
544,indie,0.0
537,immigrants,0.0
531,idealism,0.0
527,humanity,0.0
1017,teens,0.0
1018,teleportation,0.0
1066,utopia,0.0
1064,unusual plot structure,0.0
148,boat,0.0
